Country,Number of Peer
ID,2
LT,66
RU,272
US,2526
CH,148
CN,403
DE,1958
NL,494
IN,72
SG,321
HK,163
GB,353
FR,685
JP,245
TW,13
GT,1
PL,67
NO,48
CA,398
,235
ZA,28
KR,200
ES,72
BR,82
TH,22
AU,169
SE,105
IL,24
UA,95
IE,107
GR,22
IR,3
MX,12
HU,24
CZ,74
FI,122
BE,40
BG,68
DK,21
NZ,20
LU,12
AR,25
RO,73
AT,59
MY,18
EE,13
VN,6
CR,4
SI,28
CL,6
BY,48
LV,12
PT,8
TR,16
SK,22
HR,6
IT,70
MO,1
VE,7
IS,6
MD,7
PA,2
KZ,8
FO,1
MK,1
CO,6
SC,5
GE,4
AM,3
AL,1
KG,4
ME,1
AE,4
GG,1
RE,1
EC,2
IM,1
CY,3
CW,3
KE,3
BZ,1
UY,3
QA,2
KH,2
SM,1
AD,1
DO,1
BO,1
GI,1
TT,1
PH,3
RS,3
VI,1
PE,1
PR,1
MC,1
VG,1
AO,1
BM,1
LI,1
JE,1
NG,1
